lower_ci,upper_ci,method,n,iter
-0.46817861176662817,0.29744468500410753,robust,10,38
0.314,1.36,trad,100,38
-0.12950769315762845,1.80372817293582,robust,100,38
0.908,1.343,trad,1000,38
0.715391568124478,1.5351443876090176,robust,1000,38
-1.157,3.492,trad,10,39
-1.4202825295454806,3.75487905923828,robust,10,39
1.578,2.719,trad,100,39
1.4788884888287785,2.817801804744457,robust,100,39
0.69,1.182,trad,1000,39
0.49042698604421764,1.3818895798614488,robust,1000,39
-0.211,0.811,trad,10,40
-0.09735374661145191,0.6967683648936502,robust,10,40
0.869,2.035,trad,100,40
0.41181478271266014,2.4919206536747835,robust,100,40
0.841,1.293,trad,1000,40
0.6249765097221855,1.508867660989576,robust,1000,40
-1.955,3.949,trad,10,41
-1.1470170543105644,3.141357467436499,robust,10,41
0.852,1.797,trad,100,41
0.76398444703758706,1.8856000004513698,robust,100,41
0.845,1.284,trad,1000,41
0.7034848558788995,1.4253846560289787,robust,1000,41
-0.361,2.286,trad,10,42
-0.023668343090780697,1.9484610146682289,robust,10,42
0.653,1.555,trad,100,42
0.4732158766417349,1.7349241609435562,robust,100,42
0.47,0.9,trad,1000,42
0.2751429733277205,1.0951811855077174,robust,1000,42
-1.675,1.411,trad,10,43
-1.4264082408294425,1.1628593247580028,robust,10,43
-0.044,0.675,trad,100,43
-0.2753302800588507,0.905898526869009,robust,100,43
0.628,1.136,trad,1000,43
0.34747571051955406,1.4164912866434949,robust,1000,43
-2.286,0.993,trad,10,44
-1.9706506784191806,0.677586734802383,robust,10,44
0.371,1.608,trad,100,44
-0.052662304843333785,2.0315181296442155,robust,100,44
0.999,1.412,trad,1000,44
0.8886500111826359,1.5222122790596102,robust,1000,44
0.257,3.839,trad,10,45
0.5383248383683366,3.5572425413413953,robust,10,45
0.585,1.468,trad,100,45
0.48942696006705644,1.5631306240746756,robust,100,45
1.015,1.432,trad,1000,45
0.8945677901806782,1.5525542177563034,robust,1000,45
-0.07,2.964,trad,10,46
-0.06953376388862309,2.963442141802048,robust,10,46
1.346,3.182,trad,100,46
0.5365352720392897,3.99178116287316,robust,100,46
0.528,0.935,trad,1000,46
0.2634580170059495,1.2002283389704322,robust,1000,46
-0.072,1.658,trad,10,47
-0.10258745160974236,1.6885965992002436,robust,10,47
-0.155,0.722,trad,100,47
-0.41558649255379954,0.9825280552355018,robust,100,47
0.579,0.956,trad,1000,47
0.44056261112131195,1.0948952971479338,robust,1000,47
-2.956,9.384,trad,10,48
-2.394147335430454,8.822374821196249,robust,10,48
-0.373,2.102,trad,100,48
-2.071767732253769,3.800504258990067,robust,100,48
1.183,1.763,trad,1000,48
0.6733472392742371,2.2726662768918406,robust,1000,48
-0.654,4.216,trad,10,49
-0.41470012219715957,3.976663297335338,robust,10,49
1.05,2.398,trad,100,49
0.761763565507321,2.6865736876482877,robust,100,49
0.327,0.793,trad,1000,49
0.09733888337386859,1.0219107571199946,robust,1000,49
-0.574,2.085,trad,10,50
-0.20618084260131264,1.716295647102334,robust,10,50
-1.8,0.146,trad,100,50
-3.8098578547933277,2.1558787218732345,robust,100,50
0.852,1.237,trad,1000,50
0.7398962734317813,1.348652133495292,robust,1000,50
-2.607,1.646,trad,10,51
-2.1391689235009737,1.177904243268329,robust,10,51
0.564,1.886,trad,100,51
-0.058471073728231904,2.509012017508777,robust,100,51
0.679,1.117,trad,1000,51
0.5023693616342346,1.293776458900756,robust,1000,51
-0.59,5.325,trad,10,52
